id,plan_id/id,code,name,sped_account_type,sped_parent_code,sped_nature,sped_date_start,sped_date_end
ref_1_1_02_03_02_06,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.03.02.06,Imóveis,A,1.02.03.02,1,2015-01-01,
ref_1_1_02_03_02_09,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.03.02.09,Outras Imobilizações por Arrendamento,A,1.02.03.02,1,2015-01-01,
ref_1_1_02_03_02_30,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.03.02.30,(-) Depreciação Acumulada - Imobilizado - Bens objeto de arrendamento,A,1.02.03.02,1,2015-01-01,
ref_1_1_02_03_02_31,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.03.02.31,(-) Amortização Acumulada - Imobilizado - Bens objeto de arrendamento,A,1.02.03.02,1,2015-01-01,
ref_1_1_02_03_02_32,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.03.02.32,(-) Exaustão Acumulada - Imobilizado - Bens objeto de arrendamento,A,1.02.03.02,1,2015-01-01,
ref_1_1_02_03_02_55,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.03.02.55,(-) Perdas por Redução ao Valor Recuperável (Impairment) - Imobilizado - Bens objeto de arrendamento,A,1.02.03.02,1,2015-01-01,
ref_1_1_02_03_04,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.03.04,ATIVO BIOLÓGICO – DE PRODUÇÃO,S,1.02.03,1,2015-01-01,
ref_1_1_02_03_04_01,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.03.04.01,Ativo Biológico de Produção - Origem Animal – Pelo Valor Justo,A,1.02.03.04,1,2015-01-01,
ref_1_1_02_03_04_02,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.03.04.02,Ativo Biológico de Produção - Origem Vegetal – Pelo Valor Justo,A,1.02.03.04,1,2015-01-01,
ref_1_1_02_03_04_03,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.03.04.03,Ativo Biológico de Produção - Origem Animal – Pelo Custo,A,1.02.03.04,1,2015-01-01,
ref_1_1_02_03_04_04,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.03.04.04,Ativo Biológico de Produção - Origem Vegetal - Pelo Custo,A,1.02.03.04,1,2015-01-01,
ref_1_1_02_03_04_30,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.03.04.30,(-) Depreciação Acumulada Ativos Biológicos de Produção,A,1.02.03.04,1,2015-01-01,
ref_1_1_02_03_04_32,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.03.04.32,(-) Exaustão Acumulada Ativos Biológicos de Produção,A,1.02.03.04,1,2015-01-01,
