id,codigo,nome,dt_inicio,dt_fim,cnpj
inst_emp_276,276,SENFF SA,2014-01-01,,11970623000103
inst_emp_280,280,Will Financeira S.A.,2014-01-01,,23862762000100
inst_emp_281,281,COOPAVEL,2014-01-01,,76461557000191
inst_emp_299,299,Banco Afinz S.A.,2014-01-01,2025-07-31,04814563000174
inst_emp_318,318,BANCO BMG S A,2014-01-01,,61186680000174
inst_emp_321,321,CREFAZ,2014-01-01,2026-01-31,18188384000183
inst_emp_323,323,MERCADO PAGO,2025-10-01,,37679449000138
inst_emp_324,324,CARTOS,2025-12-01,,21332862000191
inst_emp_328,328,POUPECREDI,2014-01-01,2026-01-31,05841967000110
inst_emp_329,329,QI SOCIEDADE DE CREDITO DIRETO S A,2014-01-01,,32402502000135
inst_emp_330,330,BARI S A,2014-01-01,,00556603000174
inst_emp_335,335,BANCO DIGIO,2014-01-01,,27098060000145
inst_emp_341,341,BANCO ITAU SA,2014-01-01,,60701190000104
inst_emp_342,342,CREDITAS,2014-01-01,,32997490000139
inst_emp_343,343,Ffa Sociedade De Crédito Ao Microempreendedor E À Empresa De Pequeno Porte Ltda,2014-01-01,2025-07-31,24537861000171
inst_emp_348,348,BANCO XP S A,2025-10-01,,33264668000286
inst_emp_349,349,AL5,2014-01-01,,27214112000100
inst_emp_358,358,MIDWAY,2025-10-01,,09464032000112
inst_emp_359,359,ZEMA CFI S A,2014-01-01,,05351887000186
inst_emp_368,368,CARREFOUR,2014-01-01,2025-07-31,08357240000150
inst_emp_373,373,UP.P,2014-01-01,,35977097000171
inst_emp_377,377,BMS,2025-12-01,,17826860000181
inst_emp_379,379,COOPERFORTE,2014-01-01,,01658426000108
inst_emp_380,380,PICPAY,2014-01-01,2025-07-31,22896431000110
inst_emp_386,386,NU FINANCEIRA,2014-01-01,,30680829000143
inst_emp_389,389,BANCO MERCANTIL DO BRASIL S A,2014-01-01,,17184037000110
