id,codigo,nome,dt_inicio,dt_fim,cod_cnae
cnae_mei_7729202,7729202,"Aluguel de móveis, utensílios e aparelhos de uso doméstico e pessoal; instrumentos musicais",2016-07-01,,7729202
cnae_mei_7729203,7729203,Aluguel de material médico,2016-07-01,,7729203
cnae_mei_7729299,7729299,Aluguel de outros objetos pessoais e domésticos não especificados anteriormente,2016-07-01,,7729299
cnae_mei_7731400,7731400,Aluguel de máquinas e equipamentos agrícolas sem operador,2016-07-01,,7731400
cnae_mei_7732201,7732201,"Aluguel de máquinas e equipamentos para construção sem operador, exceto andaimes",2016-07-01,,7732201
cnae_mei_7732202,7732202,Aluguel de andaimes,2016-07-01,,7732202
cnae_mei_7733100,7733100,Aluguel de máquinas e equipamentos para escritórios,2016-07-01,,7733100
cnae_mei_7739002,7739002,"Aluguel de equipamentos científicos, médicos e hospitalares, sem operador",2016-07-01,,7739002
cnae_mei_7739003,7739003,"Aluguel de palcos, coberturas e outras estruturas de uso temporário, exceto andaimes",2016-07-01,,7739003
cnae_mei_7739099,7739099,"Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador",2016-07-01,,7739099
cnae_mei_7911200,7911200,Agências de viagens,2016-07-01,,7911200
cnae_mei_7912100,7912100,Operadores turísticos,2016-07-01,,7912100
cnae_mei_7990200,7990200,Serviços de reservas e outros serviços de turismo não especificados anteriormente,2016-07-01,,7990200
cnae_mei_8011102,8011102,Serviços de adestramento de cães de guarda,2016-07-01,,8011102
cnae_mei_8020002,8020002,Outras atividades de serviços de segurança,2016-07-01,,8020002
cnae_mei_8122200,8122200,Imunização e controle de pragas urbanas,2016-07-01,,8122200
cnae_mei_8129000,8129000,Atividades de limpeza não especificadas anteriormente,2016-07-01,,8129000
cnae_mei_8130300,8130300,Atividades paisagísticas,2016-07-01,,8130300
cnae_mei_8219901,8219901,Fotocópias,2016-07-01,,8219901
cnae_mei_8219999,8219999,Preparação de documentos e serviços especializados de apoio administrativo não especificados anteriormente,2016-07-01,,8219999
cnae_mei_8230001,8230001,"Serviços de organização de feiras, congressos, exposições e festas",2016-07-01,,8230001
cnae_mei_8230002,8230002,Casas de festas e eventos,2016-07-01,,8230002
cnae_mei_8291100,8291100,Atividades de cobranças e informações cadastrais,2016-07-01,,8291100
cnae_mei_8292000,8292000,Envasamento e empacotamento sob contrato,2016-07-01,,8292000
cnae_mei_8299703,8299703,"Serviços de gravação de carimbos, exceto confecção",2016-07-01,,8299703
cnae_mei_8299707,8299707,Salas de acesso à internet,2016-07-01,,8299707
cnae_mei_8299799,8299799,Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente,2016-07-01,,8299799
cnae_mei_8592902,8592902,"Ensino de artes cênicas, exceto dança",2016-07-01,,8592902
cnae_mei_8592903,8592903,Ensino de música,2016-07-01,,8592903
cnae_mei_8592999,8592999,Ensino de arte e cultura não especificado anteriormente,2016-07-01,,8592999
cnae_mei_8593700,8593700,Ensino de idiomas,2016-07-01,,8593700
cnae_mei_8599603,8599603,Treinamento em informática,2016-07-01,,8599603
cnae_mei_8599604,8599604,Treinamento em desenvolvimento profissional e gerencial,2016-07-01,,8599604
