id,codigo,nome,dt_inicio,dt_fim,nat_rubr,tp_rubr,cod_inc_cp,cod_inc_irrf,cod_inc_fgts,cod_inc_sind,rep_dsr,rep_13,rep_ferias,rep_resc,rep_afast,fator_rubr
rubr_pad_esocial5111_231,eSocial5111,Pensão Alimentícia - 13° salário,2018-08-14,,9213,2,0,52,0,0,N,N,N,N,N,
rubr_pad_esocial5112,eSocial5112,Pensão Alimentícia - Férias,2014-01-01,2018-08-13,9213,2,0,53,0,0,N,N,N,N,N,
rubr_pad_esocial5112_233,eSocial5112,Pensão Alimentícia - Férias,2018-08-14,,9213,2,0,53,0,0,N,N,N,N,N,
rubr_pad_esocial5113,eSocial5113,Pensão Alimentícia - PLR,2014-01-01,,9213,2,0,54,0,0,N,N,N,N,N,
rubr_pad_esocial5117,eSocial5117,Arredondamentos (desconto),2014-01-01,,2999,2,0,9,0,0,N,N,N,N,N,
rubr_pad_esocial5120,eSocial5120,Contribuição sindical laboral,2014-01-01,2021-06-30,9230,2,0,0,0,0,N,N,N,N,N,
rubr_pad_esocial5120_237,eSocial5120,Contribuição sindical laboral,2021-07-01,,9230,2,0,9,0,0,N,N,N,N,N,
rubr_pad_esocial5121,eSocial5121,Contribuição sindical - Associativa,2014-01-01,2021-06-30,9231,2,0,0,0,0,N,N,N,N,N,
rubr_pad_esocial5121_239,eSocial5121,Contribuição sindical - Associativa,2021-07-01,,9231,2,0,9,0,0,N,N,N,N,N,
rubr_pad_esocial5122,eSocial5122,Contribuição sindical - Assistencial,2014-01-01,2021-06-30,9232,2,0,0,0,0,N,N,N,N,N,
rubr_pad_esocial5122_241,eSocial5122,Contribuição sindical - Assistencial,2021-07-01,,9232,2,0,9,0,0,N,N,N,N,N,
rubr_pad_esocial5123,eSocial5123,Contribuição sindical - Confederativa,2014-01-01,2021-06-30,9233,2,0,0,0,0,N,N,N,N,N,
rubr_pad_esocial5123_243,eSocial5123,Contribuição sindical - Confederativa,2021-07-01,,9233,2,0,9,0,0,N,N,N,N,N,
rubr_pad_esocial5140,eSocial5140,Danos causados pelo empregado - Desconto,2014-01-01,2021-06-30,9270,2,0,0,0,0,N,N,N,N,N,
