id,codigo,nome,dt_inicio,dt_fim,desc_resumida
cid_b375,B375,Meningite por Candida,2014-01-01,,B37.5 Meningite p/Candida
cid_b376,B376,Endocardite por Candida,2014-01-01,,B37.6 Endocardite p/Candida
cid_b377,B377,Septicemia por Candida,2014-01-01,,B37.7 Septicemia p/Candida
cid_b378,B378,Candidíase de outras localizações,2014-01-01,,B37.8 Candidiase de outr localiz
cid_b379,B379,Candidíase não especificada,2014-01-01,,B37.9 Candidiase NE
cid_b38,B38,Coccidioidomicose,2014-01-01,,B38 Coccidioidomicose
cid_b380,B380,Coccidioidomicose pulmonar aguda,2014-01-01,,B38.0 Coccidioidomicose pulmonar aguda
cid_b381,B381,Coccidioidomicose pulmonar crônica,2014-01-01,,B38.1 Coccidioidomicose pulmonar cronica
cid_b382,B382,Coccidioidomicose pulmonar não especificada,2014-01-01,,B38.2 Coccidioidomicose pulmonar NE
cid_b383,B383,Coccidioidomicose cutânea,2014-01-01,,B38.3 Coccidioidomicose cutanea
cid_b384,B384,Meningite por coccidioidomicose,2014-01-01,,B38.4 Meningite p/coccidioidomicose
