id,processo,nr_inscricao,dt_inicio,dt_fim
proc_fap_1711130023751011,1711130023751011,72115025000141,2018-01-01,
proc_fap_1711090023752011,1711090023752011,05268526000251,2018-01-01,
proc_fap_1711130023753011,1711130023753011,72256654000191,2018-01-01,
proc_fap_1711030023754011,1711030023754011,89850341000160,2018-01-01,
proc_fap_1711060023755011,1711060023755011,08636452001300,2018-01-01,
proc_fap_1711100023756011,1711100023756011,03490958000104,2018-01-01,
proc_fap_1711060023757011,1711060023757011,08636452002039,2018-01-01,
proc_fap_1711060023759011,1711060023759011,08636452002705,2018-01-01,
proc_fap_1711130023760011,1711130023760011,08636452000923,2018-01-01,
proc_fap_1711130023758021,1711130023758021,73946238000188,2018-01-01,
proc_fap_1711130023761011,1711130023761011,08636452001814,2018-01-01,
proc_fap_1711130023762011,1711130023762011,08636452001903,2018-01-01,
proc_fap_1711060023763011,1711060023763011,62367032000187,2018-01-01,
proc_fap_1711130023750031,1711130023750031,96713839000146,2018-01-01,
proc_fap_1711130023765011,1711130023765011,08636452003000,2018-01-01,
proc_fap_1711130023766011,1711130023766011,63699839000180,2018-01-01,
proc_fap_1711130023768011,1711130023768011,60985017000177,2018-01-01,
proc_fap_1711130023769011,1711130023769011,00831373003715,2018-01-01,
proc_fap_1711130023770011,1711130023770011,81604803000157,2018-01-01,
proc_fap_1711080023771011,1711080023771011,09426032000128,2018-01-01,
proc_fap_1711130023772011,1711130023772011,09641520000158,2018-01-01,
proc_fap_1711130023773011,1711130023773011,00831373007117,2018-01-01,
proc_fap_1711090023774011,1711090023774011,73511735000153,2018-01-01,
proc_fap_1711130023775011,1711130023775011,02405085000113,2018-01-01,
proc_fap_1711140023776011,1711140023776011,65573776000146,2018-01-01,
proc_fap_1711140023777011,1711140023777011,98513187000474,2018-01-01,
proc_fap_1711140023778011,1711140023778011,05309751000108,2018-01-01,
proc_fap_1711130023779011,1711130023779011,01526169000142,2018-01-01,
proc_fap_1711140023780011,1711140023780011,15579674000160,2018-01-01,
proc_fap_1711140023782011,1711140023782011,03620142000140,2018-01-01,
proc_fap_1711140023783011,1711140023783011,19158435000197,2018-01-01,
proc_fap_1711130023781021,1711130023781021,82891805000137,2018-01-01,
proc_fap_1711140023784011,1711140023784011,61576369000131,2018-01-01,
proc_fap_1711140023785011,1711140023785011,60501707000103,2018-01-01,
proc_fap_1711140023786011,1711140023786011,02750009000145,2018-01-01,
proc_fap_1711130023767031,1711130023767031,73946204000193,2018-01-01,
proc_fap_1711130023787011,1711130023787011,60880416000173,2018-01-01,
proc_fap_1711140023788021,1711140023788021,51332203000116,2018-01-01,
proc_fap_1711140023790011,1711140023790011,01838723025111,2018-01-01,
proc_fap_1711060023789021,1711060023789021,01838723024140,2018-01-01,
proc_fap_1711140023791011,1711140023791011,01838723024816,2018-01-01,
proc_fap_1711140023792011,1711140023792011,21228861000100,2018-01-01,
proc_fap_1711010023793011,1711010023793011,58852518001024,2018-01-01,
proc_fap_1711090023794011,1711090023794011,20556704000152,2018-01-01,
proc_fap_1711140023795011,1711140023795011,89850341001212,2018-01-01,
proc_fap_1711140023796011,1711140023796011,20294088000109,2018-01-01,
proc_fap_1711130023797011,1711130023797011,71448260000172,2018-01-01,
proc_fap_1711140023798021,1711140023798021,89673164000193,2018-01-01,
proc_fap_1711140023799011,1711140023799011,17393547000105,2018-01-01,
proc_fap_1711130023800011,1711130023800011,07298800000180,2018-01-01,
proc_fap_1711130023801011,1711130023801011,08745465000183,2018-01-01,
proc_fap_1711140023802011,1711140023802011,02151955000175,2018-01-01,
proc_fap_1711140023803011,1711140023803011,47067525014672,2018-01-01,
proc_fap_1711140023805011,1711140023805011,90347840000380,2018-01-01,
proc_fap_1711140023806011,1711140023806011,90347840000541,2018-01-01,
proc_fap_1711140023807011,1711140023807011,90347840000703,2018-01-01,
proc_fap_1711140023808011,1711140023808011,90347840000894,2018-01-01,
proc_fap_1711140023809011,1711140023809011,00099708000141,2018-01-01,
proc_fap_1711140023810011,1711140023810011,90347840001785,2018-01-01,
proc_fap_1711140023811011,1711140023811011,90347840002080,2018-01-01,
proc_fap_1711140023812011,1711140023812011,47067525007897,2018-01-01,
proc_fap_1711140023813011,1711140023813011,90347840002242,2018-01-01,
proc_fap_1711140023814011,1711140023814011,90347840002595,2018-01-01,
proc_fap_1711140023815011,1711140023815011,90347840004296,2018-01-01,
proc_fap_1711080023816011,1711080023816011,61246245000198,2018-01-01,
proc_fap_1711140023817011,1711140023817011,90347840005268,2018-01-01,
proc_fap_1711140023818011,1711140023818011,90347840006582,2018-01-01,
proc_fap_1711140023819011,1711140023819011,90347840006663,2018-01-01,
proc_fap_1711140023820011,1711140023820011,90347840006906,2018-01-01,
proc_fap_1711140023822011,1711140023822011,19157650001064,2018-01-01,
proc_fap_1711140023821021,1711140023821021,87612834000136,2018-01-01,
proc_fap_1711140023823011,1711140023823011,10279522000209,2018-01-01,
proc_fap_1711140023824011,1711140023824011,05488486000172,2018-01-01,
proc_fap_1711150023825011,1711150023825011,02646208000108,2018-01-01,
