id,codigo,nome,active
l10n_br_esocial.nat_rubr_1212,1212,"Gratificações ou outras verbas de natureza permanente",True
l10n_br_esocial.nat_rubr_1213,1213,"Gratificações ou outras verbas de natureza transitória",True
l10n_br_esocial.nat_rubr_1214,1214,"Adicional de penosidade",True
l10n_br_esocial.nat_rubr_1215,1215,"Adicional de unidocência",True
l10n_br_esocial.nat_rubr_1216,1216,"Adicional de localidade",True
l10n_br_esocial.nat_rubr_1217,1217,"Gratificação de curso/concurso",True
l10n_br_esocial.nat_rubr_1225,1225,"Quebra de caixa",True
l10n_br_esocial.nat_rubr_1230,1230,"Remuneração do dirigente sindical",True
l10n_br_esocial.nat_rubr_1299,1299,"Outros adicionais",True
l10n_br_esocial.nat_rubr_1300,1300,"PLR - Participação em Lucros ou Resultados",True
l10n_br_esocial.nat_rubr_1350,1350,"Bolsa de estudo - Estagiário",True
l10n_br_esocial.nat_rubr_1351,1351,"Bolsa de estudo - Médico residente",True
l10n_br_esocial.nat_rubr_1352,1352,"Bolsa de estudo ou pesquisa",True
l10n_br_esocial.nat_rubr_1401,1401,"Abono",True
l10n_br_esocial.nat_rubr_1402,1402,"Abono PIS/PASEP",True
l10n_br_esocial.nat_rubr_1403,1403,"Abono legal",True
l10n_br_esocial.nat_rubr_1404,1404,"Auxílio babá",True
l10n_br_esocial.nat_rubr_1405,1405,"Assistência médica",True
l10n_br_esocial.nat_rubr_1406,1406,"Auxílio-creche",True
l10n_br_esocial.nat_rubr_1407,1407,"Auxílio-educação",True
l10n_br_esocial.nat_rubr_1409,1409,"Salário-família",True
l10n_br_esocial.nat_rubr_1410,1410,"Auxílio - Locais de difícil acesso",True
l10n_br_esocial.nat_rubr_1411,1411,"Auxílio-natalidade",True
l10n_br_esocial.nat_rubr_1412,1412,"Abono permanência",True
l10n_br_esocial.nat_rubr_1601,1601,"Ajuda de custo - Aeronauta",True
l10n_br_esocial.nat_rubr_1602,1602,"Ajuda de custo de transferência",True
l10n_br_esocial.nat_rubr_1603,1603,"Ajuda de custo",True
l10n_br_esocial.nat_rubr_1604,1604,"Ajuda de custo - Acima de 50% da remuneração mensal",False
l10n_br_esocial.nat_rubr_1619,1619,"Ajuda compensatória - Programa Emergencial de Manutenção do Emprego e da Renda",True
l10n_br_esocial.nat_rubr_1620,1620,"Ressarcimento de despesas pelo uso de veículo próprio",True
l10n_br_esocial.nat_rubr_1621,1621,"Ressarcimento de despesas de viagem, exceto despesas com veículos",True
l10n_br_esocial.nat_rubr_1623,1623,"Ressarcimento de provisão",True
l10n_br_esocial.nat_rubr_1629,1629,"Ressarcimento de outras despesas",True
l10n_br_esocial.nat_rubr_1650,1650,"Diárias de viagem",True
l10n_br_esocial.nat_rubr_1651,1651,"Diárias de viagem - Até 50% do salário",False
l10n_br_esocial.nat_rubr_1652,1652,"Diárias de viagem - Acima de 50% do salário",False
l10n_br_esocial.nat_rubr_1799,1799,"Alimentação concedida em pecúnia com caráter indenizatório",True
l10n_br_esocial.nat_rubr_1800,1800,"Alimentação concedida em pecúnia com caráter salarial",True
l10n_br_esocial.nat_rubr_1801,1801,"Alimentação",False
l10n_br_esocial.nat_rubr_1802,1802,"Etapas (marítimos)",True
